;texts;labels
132;fix miss stop log class ;1
133;fix name demangl issu mac gcc user ;1
134;fix petsc nonlinear system matrix free solver ;1
135;patch ben spencer ;1
136;patch ben spencer ;1
137;patch ben spencer ;1
138;fix broken laspackvector assign oper ;1
139;memorysolutionhistori bugfix vikram garg ;1
140;fix petsc configur ;1
141;fix compat sun one studio compil ;1
142;fix broken dzeta linear pyramid shape function ;1
143;fix epetra vector interfac ;1
144;fix effici improv disabl amr ;1
145;fix code might encount remot elem ;1
146;fix comment code libmesh dim ;1
147;derek fix parallelmesh stuff ;1
148;fix ignor restor warn ;1
149;bit fix key comput key ;1
150;incomplet fix enabl tripleprecis ;1
151;fix api chang ;1
152;misc fix dof type unsign int ;1
153;fix disabl amr compil dim ;1
154;fix one ridicul use array style string ;1
155;fix degre triangl quadratur rule weight ;1
156;assort bugfix ;1
157;fix disabl rtti ;1
158;fix compil error enabl complex due densematrix svd solv lapack ;1
159;patch vijay slepc support ;1
160;fix triangl support ;1
161;fix new exampl target ;1
162;pgi compil flag fix ;1
163;fix enabl complex ;1
164;fix triangl interfac better memori manag ;1
165;fix disabl ifem configur ;1
166;fix disabl mpi build ;1
167;fix error homemad remov algorithm ;1
168;fix refactor enabl complex ;1
169;fix high monomi shape function calcul ;1
170;adjoint bugfix ;1
171;next free bugfix ;1
172;reliabl bugfix ;1
173;derek fix disabl amr ;1
174;fix disabl period build ;1
175;dof type fix elem connect ;1
176;fix boundari intern side case ;1
177;fix boundari intern side case ;1
178;patch manav bhatia ;1
179;fix petscint int compat ;1
180;fix disabl except ;1
181;fix roman vetter data imprecis bug vtk output ;1
182;fix disabl exodu ;1
183;unsteadysolv fix optim ;1
184;fix disabl fparser ;1
185;petsc api chang fix ;1
186;fix separ libmesh namespac ;1
187;sun studio fix ;1
188;sun studio fix ;1
189;fix enabl period enabl amr ;1
190;fix infelembuild empti partit case ;1
191;fix enabl singleprecis ;1
192;fix parallelmesh refin ;1
193;fix std complex use ;1
194;revert fparser fix ;1
195;fix xdr vari size ;1
196;minor sgi fix ;1
197;fix irix mipspro ;1
198;wconvers fix dof map constraint ;1
199;fix style perform issu found cppcheck ;1
200;fparser fix ;1
201;type fix unit test ;1
202;fix project case ;1
203;fix refin ;1
204;fix allgath vector union ;1
205;fix make test header ;1
206;odd configur case fix ;1
207;fix numer index type unsign int ;1
208;fix find neighbor remot elem ;1
209;fix dof type unsign int ;1
210;irix compat fix ;1
211;compat fix irix ;1
212;irix compat fix ;1
213;fix type int ;1
214;enabl complex fix ;1
215;fix enabl complex ;1
216;fix enabl singl ;1
217;compat fix gcc ;1
218;one set size type fix ;1
219;fix disabl mpi ;1
220;fix disabl mpi ;1
221;fix disabl mpi ;1
222;fix disabl mpi ;1
223;commun world commun fix ;1
224;patch benjamin spencer ;1
225;bernstein first quad fix ;1
226;bit fix ;1
227;find neighbor fix parallelmesh ;1
228;fix petsc without mpi ;1
229;fix vtk test ;1
230;fix creat parent error vector parallel ;1
231;fix mpi undefin ;1
232;fix second order parallelmesh ;1
233;compil fix solari ;1
234;portabl fix ;1
235;fix config option ;1
236;build fix xlc ;1
237;build fix xlc ;1
238;fix triangl disabl ;1
239;fix disabl gmv ;1
240;pack rang output type fix ;1
241;incorpor fix ;1
242;fix ;1
243;fix ;1
244;fix cygwin ;1
245;compat fix ;1
246;sgi fix ;1
247;fix sgi ;1
248;adjointrefin fix ;1
249;fix fexyz ;1
250;fix laplacemeshsmooth ;1
251;fix trishel edg map quadshel edg map exodusii helper ;1
252;fix system ;1
253;misc fix ;1
254;wconvers fix ;1
255;wconvers fix ;1
256;wconvers fix ;1
257;wconvers fix ;1
258;wconvers fix ;1
259;wconvers fix ;1
260;wconvers fix ;1
261;wconvers fix ;1
262;misc fix ;1
263;misc fix ;1
264;vpath fix ;1
265;misc fix mix dim mesh test ;1
266;fix compil error disabl amr due recent node edg boundari condit patch ;1
267;gcc fix ;1
268;complex fix ;1
269;fix iter ;1
270;parallelmesh fix ;1
271;fix parallelmesh ;1
272;dof type fix ;1
273;dof type fix ;1
274;dof type fix ;1
275;dof type fix ;1
276;fix frequencysystem ;1
277;patch jed brown fix petscdmlibmesh petsc ;1
278;patch dknez fix reduc basi femcontext api updat ;1
279;uniqueid fix ;1
280;fix libmesh requir separ namespac ;1
281;fix disabl amr ;1
282;debug inff ;1
283;complet patch correct vtksmartpoint usag ;1
284;patch bill write mgf style xdr mesh ;1
285;patch vijay mahadevan path slepc includ file ;1
286;add configur test std make uniqu workaround ;1
287;patch jed brown updat new xxdestroy api come petsc ;1
288;parallel solut project refin mesh work ;1
289;fix scali mpi compat appar mpi sum alway valid char data type ;1
290;new assert valid neighbor test bugfix find neighbor ;1
291;system call clear destructor solv transient problem parallel amr work think yeah ;1
292;properli handl xcode fortran anywher case ;1
293;return custom error code requir test fail ;1
294;fix funni bug parmeti includ petsc packag file could shadow parmeti includ libmesh make common perhap make use best least renam variabl hurt ;1
295;fix frequencysystem work one frequenc depend matrix instead multipl frequenc independ matric ;1
296;make sure parallel failur occur libmesh assert give nice stack trace weird intern mpi buffer size mismatch error ;1
297;sophist error norm option ;1
298;patch vikram garg creat implicitsystem use linearsolv adjoint solv overrid petsclinearsolv adjoint solv use kspsolvetranspos add option reus precondition test option ;1
299;rboomit chang eim theta avoid link error method pro reduc basi ;1
300;bugfix addit option inf norm system calcul norm ;1
301;patch boyc griffith clean opt mode compil user extra warn enabl ;1
302;patch roman vetter comment allow system project vector handl new element creation ;1
303;default templat paramet avoid api breakag ;1
304;patch vikram garg implement global error estim initi version element wise error indic base refin adjoint solut ;1
305;need virtual destructor avoid memori leak ;1
306;kroger oop patch compil debug mode ;1
307;appli gmsh patch martin includ boundari info boundari inform handl numnod properli initi ;1
308;fine grain profil patch build function ;1
309;petsc converg reason patch roman vetter ;1
310;patch add project solut project vector method use femfunctionbas object still untest ;1
311;patch paul bauman exodusii output ;1
312;patch manav bhatia gmsh format support ;1
313;make patchrecoveri member protect might use anyon extend specif necessari merg vikram weight patch recoveri class bug work ;1
314;patch jungho lee clang compil detect ;1
315;patch vijay mahadevan updat slepc new xxxdestroy syntax ;1
316;use martin patch chang regard mesh data pointer ;1
317;checkin patch recoveri error estim vari minor code clean rigor test think elem order need replac var order ;1
318;patch mostli vikram adjointresidualerrorestim evalu use matrix systemnorm ;1
319;initi support patch recoveri error estim ;1
320;patch jed brown gener prealloc matric type chang mat type ;1
321;weight patch recoveri error estim support function vikram garg ;1
322;adjoint alreadi solv patch vikram garg ;1
323;numericvector conjug patch jen eftang ;1
324;patch jed brown slepc support ;1
325;support current broken parallel diffsystem framework solv ;1
326;patch yaqi wang ;1
327;gmv ptet patch includ ;1
328;avoid prealloc error seem trigger block matrix storag ;1
329;avoid prealloc error seem trigger block matrix storag ;1
330;patch safe coarsen perturb mesh ;1
331;explicitli special singl doubl avoid undefin function singl precis set ;1
332;fix error netcdf appar affect osx ;1
333;remov inlin caus problem solari ;1
334;avoid blksize error ultracoars mesh ;1
335;revert broken incomplet patch ;1
336;better accessor move mesh problem ;1
337;fix test hypr petsc environ petsc arch set ;1
338;patch mostli lorenzo botti allow calcul side without use invers map common case ;1
339;remov unnecessari xlc autoptr return workaround sinc current xlc longhorn ;1
340;avoid unnecessari calcul affin map ;1
341;avoid unnecessari calcul straight line case ;1
342;accident commit deliber broken code throw static test tool let get rid ;1
343;unpartit method fix parallelmesh method ;1
344;get rid unnecessari code nodeconstraint calcul ;1
345;get rid unnecessari code nodeconstraint calcul ;1
346;bugfix return valu use stop criterion flag element nelem target ;1
347;fix parallelmesh first order good enough make plot error work non serial parallelmesh get closer ;1
348;bugfix flag tini mesh restor miss use max level ;1
349;small compat enhanc explicitli assign valu fefamili entri help identifi famili whether dat file produc without enabl ifem equationsystem actual matter system type handl system type load chang error case system type mismatch simpl std frequencysystem equationsystem paramet frequenc ;1
350;meshtool libmesh assert equal system way debug miscommun dofobject problem ;1
351;add support order hierarch order element incomplet bugfix hierarch cube ;1
352;bugfix accident overwritten temporari flag remov assumpt constraint row nonempti ;1
353;reenabl parallel code test cach code cach bugfix ;1
354;bugfix time max elem elem ;1
355;bugfix previou commit ;1
356;zerofunct parsedfunct bugfix ;1
357;meshbas add api chang bugfix ;1
358;bugfix evalu ;1
359;bugfix enabl default comm world case ;1
360;refactor estim error bugfix specpoli ;1
361;bugfix node point oper ;1
362;simpl stupid refin option bugfix ;1
363;bugfix cannot instanti initi pointloc twice problem ;1
364;bugfix ;1
365;mani enough bugfix ;1
366;bugfix non lagrang coarsen might work ;1
367;bugfix backup solut overwrit accumul error valu ;1
368;jacobi quadratur rule rule allow conic product quadratur perform tri tet although type rule non optim use point necessari cluster point correct easi construct high order time select anyth beyond fifth order quadratur tet tri get conic product gauss jacobi rule chang includ fix broken point gauss quadratur rule wrong weight make function qbase class virtual instead pure virtual way creat concret quadratur class without implement anyth init function still pure virtual least need defin quadratur rule creat new class ;1
369;mani bugfix enhanc diffsystem framework work transient nonlinear problem ;1
370;bugfix mapvector base parallelmesh ;1
371;elem loos bound box test ;1
372;fixup constrain element matrix case matrix block repres separ densematrix ;1
373;fix build side side infinit cell boundarymesh work infinit element yield cool pic ;1
374;fix one small issu stitch mesh intern sideset copi final stitch togeth mesh ;1
375;merg write element fix write element discontinu note code test write element discontinu know write element discontinu suppos differ write element look like write elem num map correctli get overwritten block ;1
376;fix space fill curv oper activ element chang meshrefin uniformli refin call prepar use refin step taken ;1
377;wconvers fix hard bit ;1
378;dof type wconvers fix ;1
379;dof type wconvers fix ;1
380;dof type wconvers fix ;1
381;dof type wconvers fix ;1
382;dof type wconvers fix ;1
383;wconvers dof type fix ;1
384;wconvers dof type fix ;1
385;still dof type wconvers fix ;1
386;minor bugfix trilino algebra fix regress make trilino nonlinear solver compat ben new function object interfac ;1
387;build latex document default probabl unread anyway fix doxygen fedora ;1
388;commit patch lorenzo botti fix improv xyz finit element email major chang relat scale introduc improv condit number small big element small big compar refer element scale linear hex xyz equival monomi basi independ element size curv element approxim properti scale xyz better monomi allow third fourth degre approxim without troubl also miscellan copi misellan use xyz element instead monomi element test success ;1
389;fix meshtool level non serial mesh subact element local activ level version ;1
390;bugfix enhanc abaqu reader fix bug read comma separ valu abaqu reader allow gener abaqu libmesh node map better code read comma separ element connect ;1
391;support linear quadrat lagrang element adapt find neighbor support gener side return autoptr rather autoptr support gnuplot output support error estim via kelli indic bug fix alloc zero length array dof object need chang side infinit element type return autoptr support build line mesh gener test code updat work ;1
392;chang target exampl program exampl fix problem path point deni thank ;1
393;fix remov unus variabl compil optim mode wall ;1
394;major fix suckin acc cannot swap elem insert final read unv work statu report file capabl read xda read unv write gmv write unv meshdata work reorder read unv meshdata ;1
395;fix gcc biggest thing class deriv partial special class data visibl without use also longer tri build partition factori lib portabl nightmar ;1
396;minor fix new acc requir notat autoptr ibm xlc made acc shut futur error improv std support see mesh document work possibl futur improv configur could tri figur architectur whole environ variabl thing like cxx acc necessari ;1
397;fix petsc sle remov petsc function roll ksp guess support year drop ;1
398;configur fix solari need use differ link option ;1
399;configur fix solari need use differ link option ;1
400;fix unnecessari header file depend ;1
401;fix allow const iter behav like const iter ;1
402;coupl parallelmesh fix actual distribut mesh specif corner case never manag trigger serialmesh ;1
403;use mesh shell instead quad element exampl misc minor fix ;1
404;fix mani assort segfault assert error non lagrang coarsen still fail least element ;1
405;parallel send receiv string ;1
406;remov overzeal assert ;1
407;run contrib bin reindent exampl fix space ;1
408;fix enough yet even possibl nemesi write nemesi processor contain element corner case ;1
409;set old dof object current system dof prevent case multipl system initi success old implement first system would initi set old dof object second system would initi set old dof object first system dof fix erron behavior ;1
410;partial fix inff remov empti face infinit explanatori comment invalid call dof etc exampl better use yet current debug inff problem build cube method higher order hex element mani node initi gcc know test ;1
411;fix wshadow warn ;1
412;fix constraint gather scatter quit done yet still figur handl case processor need know constraint own constrain dof own elem support anoth processor constrain dof ;1
413;variou petsc bit fix updat config guess sub ;1
414;forward declar preprocessor fix variou disabl option ;1
415;std see error convers long doubl doubl explicit static cast fix ;1
416;uniformrefin estim never got updat handl qoiset base api chang break use dual subestim adjoint residu refin patch fix test ;1
417;configur fix build parmeti without valid mpi instal ;1
418;default argument fix commun send receiv fortun parallel wrapper prevent anyon updat api yet trigger bug mean anyon want updat api remain compat would manual specifi send receiv tag ;1
419;fix one curios say acc definit dislik name function method paramet start underscor like first sparsematrix etc ;1
420;type fix send receiv vector ;1
421;need util swap std swap also fix meti parmeti new compil semant ;1
422;format fix processor byte ;1
423;patch fix assert seen parallel mesh parallel uniqu enabl ;1
424;differentiablesystem framework fix simpl test case work ;1
425;implement fix suggest cppclean ;1
426;addit debug delet remot element fix boundari mesh ;1
427;miscellan fix updat nemesi helper ;1
428;miscellan fix richer option depend stack mac ;1
429;fix still woefulli incomplet parallelmesh adapt coarsen new elem total famili tree util function ;1
430;fix reliabl coarsen behavior ;1
431;fix configur newer vtk petsc ;1
432;compil fix send receiv set ;1
433;fix enabl complex ;1
434;fix enabl complex ;1
435;fix enabl complex ;1
436;fix enabl complex ;1
437;fix enabl complex ;1
438;dirichletconstraint fix enabl complex ;1
439;fix enabl complex ;1
440;fix enabl complex ;1
441;dof type error fix paul patch ;1
442;max order fix szabab element ;1
443;fix disabl amr ;1
444;fix disabl amr ;1
445;fix disabl amr ;1
446;fix disabl amr ;1
447;disabl amr fix ;1
448;fix first broken fix sun ;1
449;fix checkpointio parallel write ;1
450;minor document fix namespac petsc enabl ifem decreas virtual member class uniform usag inff possibl see includ variat form need thorough test fix make exampl depend adjust ben pretti build ;1
451;fix disabl amr build ;1
452;fix disabl amr build ;1
453;fix write vtk element ;1
454;fix write vtk element ;1
455;fix weird file permiss contrib header file ;1
456;fix elem point test call elem contain point detect case feinterfac invers map project point element live higher dimension space locat element even though refer element think ;1
457;fix broken link present php mani still broken ;1
458;anoth attempt fix uniqu parallel mesh ;1
459;fix complex number ;1
460;fix vtkio memori leak memori corrupt bug move unnecessarili heap array stack ;1
461;fix infinit element ;1
462;fix typevector typo thank martin provid access compon physic local coordin transform matrix febas use comput shock captur paramet tezduyar ;1
463;enabl keyword expans exampl fix incorrect hard code date string ;1
464;fix strang filenam due unexpect behavior std stringstream ;1
465;fix sed issu mean get rid ;1
466;fix xdr enabl singl support ;1
467;fix weird charact encod ;1
468;fix petsc logic error libmesh ;1
469;fix anoth similar hermit project error ;1
470;chang boundari node inform tie node address node number facilit renumb node element without break boundari condit ;1
471;fix sideset prism adapt ;1
472;fix overzeal period boundari case assert ;1
473;fix regress equationsystem read tri read file instead unzip ascii counterpart ;1
474;fix incorrect child vertex number hex element sourc broken amr sideset hex mesh ;1
475;fix ifdef ;1
476;fix miss oprof mode make common ;1
477;thank john hint unsign short int reduc mem requir adjac vertic matric higher order element convert short int reduc virtual elem one higher order equiv elem got move static member function elem also enabl choos whether one want convert quad quad quad quad simpl bool option meshbas second order bool reduc repeat code adjac vertic move short int matric hex quad prism etc fix gmv support higher order prism enuff debug today ;1
478;make parallel node fix code public ;1
479;patch david knezev fix bug analyticfunct updat ;1
480;rboomit chang fix eim case one variabl ;1
481;technic iter const iter differ type object comparison two allow fix two instanc ;1
482;constructor move header file still inlin xlc correctli provid global linkag result linker error fix ;1
483;fix bug exodu writer iter must use element delet mesh ;1
484;enforc fix format tetgen arg necessari tetgen appar triangl could handl scientif notat also singl assert ;1
485;clough tocher finit element famili quadratur rule made invalid quadratur rule enum fix valu case ever want binari compat libmesh version ;1
486;fix exodusii output element number sideset amr mesh ;1
487;return valu warn gcc fix ;1
488;minor fix compil enabl perflog fix problem dens matrix multipl show constraint matric ;1
489;extend meshdata compat mode meshdata activ mesh import time one still write univers mesh read write mesh data compat mode howev cautiou mode use current mesh node element fix meshbas univers support tet ;1
490;embed matric prism fix ambigu definit prism refer element record eta standard refer isoscoles triangl zeta sorri confus wrong two place way cancel creat boundari mesh work time without renumb node ;1
491;fix old code instead refer vector pass actual vector ;1
492;chang dofmap build constraint matrix effici usual case element constraint also fix case element constraint term dof other ;1
493;fix acloc print incorrect comment local sstream defin ;1
494;fix incorrect statement document ;1
495;first cut access neighbor valu differentialsystem framework come handi discontinu galerkin simul still need debug also add fix implement ;1
496;first cut access neighbor valu differentialsystem framework come handi discontinu galerkin simul still need debug also add fix implement ;1
497;fix bug assert statement remov unus variabl ;1
498;fix tetgen interfac get rid switch warn ;1
499;command line option chang way degre freedom number fix adapt solver work new errorestim class structur ;1
500;fix meshtool miss matrix graph function write boundari univers mesh node number correspond volum mesh assert meshdata ;1
501;boundarymesh copi node pointer locat parent mesh must delet node sinc alloc memori fix meshtool ;1
502;fix hex face properli account center node node ;1
503;fix laspack gmre implement complex number detail see contrib laspack code chang ;1
504;fix switch macro vector element made gener conform better alreadi ;1
505;multipli inherit basic activ pid elem iter fix virtual inherit class need explicitli call hare parent constructor ;1
506;enabl everyth fix anoth perflog issu start paramet class need work configur longer abort recogn compil rather issu warn user need manual set compil flag make common ;1
507;build support infinit element fix nodal soln infinit element static member libmesh zero may realli necessari want safe side know default constructor std complex one doubl pass contain class fecomputedata serv hide custom class notori infinit element comput data use fecomputedata physic correct counterpart shape ;1
508;fix element normal calcul element live normal vector lie tangent plane element rather arbitrarili plane ;1
509;fix name resolut issu error estim class caus attempt overload pure virtual function call overload version subclass wolfgang told use direct ;1
510;fix memori access rang error show tri access neighbor boundari also implement diffsystem construct diffcontext comput neighbor valu ;1
511;fix ben ibm sgi like fix perhap compil happi ;1
512;move project base comput constraint function base class compat hierarch element fix bug reveal new dofmap function ;1
513;fix osx caus gmvread behav ;1
514;rboomit chang fix rbeimconstruct compil error enabl complex ;1
515;fix send list debacl think ;1
516;fix error messag sgi ;1
517;fix configur flag intel icc ;1
518;fix mesh read bool flag ;1
519;fix flip vertex base dof problem ;1
520;fix autoptr assign xlc ;1
521;fix perflog real time ;1
522;fix doubl delet error boundarymesh ;1
523;fix keyword expans exampl makefil ;1
524;fix build system properli disabl libgzstream ;1
525;fix ifem xlc compat ;1
526;fix unvio write method ;1
527;fix simpl compil error ;1
528;meshtool weight fix parallel mesh ;1
529;fix const correct swap ;1
530;fix link target exampl ;1
531;fix size comment correct complex number ;1
532;rboomit chang fix bug rbeimevalu read interpol point elem ;1
533;accident check huge itanium fix ;1
534;fix syntax error caus segfault icc ;1
535;keyword substitut fix new file ;1
536;fix work complex mode ;1
537;fix xdrio complex data ;1
538;fix memori leak ;1
539;fix xdrio case complex data ;1
540;fix log exampl ;1
541;fix real data ;1
542;fix one error ucd input ;1
543;fix bug hierarch ;1
544;fix string stream compil work ;1
545;fix solv frequenc ;1
546;fix last time ;1
547;fix potenti non lagrang coarsen segfault mix mesh ;1
548;fix unvio element ;1
549;fix factori class ;1
550;fix factori class ;1
551;fix factori class ;1
552;fix bug inff ;1
553;fix problem combin bernstein infinit element ;1
554;fix partition factori xlc ;1
555;fix second deriv ;1
556;fix potenti lagrang coarsen segfault ;1
557;fix miss std getpot ;1
558;fix coupl broken link fix tetgeninterfac handl meshdata extern mesh class ;1
559;fix coupl broken link fix tetgeninterfac handl meshdata extern mesh class ;1
560;fix compil error slepc disabl ;1
561;fix eigen ;1
562;fix min level neighbor bug ;1
563;fix min complex ;1
564;fix broken norm ;1
565;fix densematrix zero ;1
566;fix gmvio altix ;1
567;fix broken deriv calcul ;1
568;fix bug contribut marc buffat ;1
569;fix linker error ;1
570;fix broken assert ;1
571;fix assert shape second deriv ;1
572;fix broken link ;1
573;fix parallel ;1
574;fix depend ;1
575;fix accident code delet ;1
576;fix color ;1
577;fix perf log call ;1
578;fix disabl libhilbert ;1
579;fix mipspro ;1
580;fix releas ;1
581;fix simplifi min level neighbor ;1
582;fix miss ;1
583;fix miss ;1
584;fix link ;1
585;fix daniel ;1
586;fix mipspro ;1
587;fix local one ;1
588;fix disabl gmv ;1
589;fix code complex number ;1
590;fix meshtool ;1
591;fix factori ;1
592;fix ifdef ;1
593;fix hex number issu fix coupl leak pointer ;1
594;fix sever bug refin nelem target ;1
595;fix sideset ;1
596;fix misplac ifdef ;1
597;fix getpot ;1
598;fix overzeal assert ;1
599;fix ;1
600;fix left right multipli transpos work case ;1
601;rboomit chang improv eim code offlin much faster store parametr function train set rather recomput also move evalu basi function rbeimconstruct new class rbeimassembl also fix parallel bug rbconstructionbas serial train set ;1
602;fix overzeal assert ;1
603;fix overzeal assert ;1
604;fix overzeal assert ;1
605;fix bug getpot evalu divis string first argument denomin skip also chang locat comment block hope doxygen document nest namespac ;1
606;variou chang inff fix bug occur higher order base approxim chang intern dof node number scheme complet invers map split implement file better overview ;1
607;fix case vtk ;1
608;consolid infinit element match new neat elem refin style fix bug meshbas build inf elem occur higher order element fix sometim errat behavior elem node shift way node truli uniqu conveni way automat determin origin meshtool fix document like delet pointer actual autoptr alreadi take care ;1
609;fix realli old bug alway caus distribut factor written sideset crash version paraview ;1
610;chang gmvio made gmvio work parallelmesh input via meshseri factor bunch cut past code singl function fix bug eletyp definit tet write properli read element use node map ;1
611;rboomit chang chang parallel sum parallel max eim construct avoid potenti bug evalu point ghost element also remov parmesh assert reduc basi ;1
612;clean equationsystem read write handl multipl vector desir deleg task systembas systembas get info systembas two inlin method eqnsysbas fix silli bug frequencysystem alloc addit vector omit assign valu ;1
613;bug fix workaround serial output parallelmesh longer requir user allgath hand parallelmesh user use serial safe benefit get parallel hood ;1
614;increas granular perform log fix bug dofmap add neighbor send list caus send list becom excess larg slow dofmap sort send list method consider ;1
615;increas granular perform log fix bug dofmap add neighbor send list caus send list becom excess larg slow dofmap sort send list method consider ;1
616;fix document xdrmode fix compar new equationsystem fix bug systembas compar fix equationsystem handl frequencysystem bool equationsystem paramet exist function temporari work around errorestim complex tupl come ;1
617;fix anoth stupid bug non affin element second deriv warn ;1
618;move period stuff dof map constraint fix one bug period boundari condit work least simpl test ;1
619;fix bug dofobject tri delet null pointer clear object variabl alloc also chang two refer copi densematrix multipl ;1
620;typenam identifi equationsystem sourc file fix bug add function complex number densematrixbas class ;1
621;use std make pair return statement fix document bug ;1
622;fix incorrect master element element refactor code fix cach bug element hermit element appear work ;1
623;preliminari solut project support quit pain unforseen bug point node assign oper fix ;1
624;fix small document bug caus header file show properli ;1
625;fix bug femap jacobian properli cach affin map copi past error ;1
626;workaround eigen sparsematrix bug ;1
627;fix bug programhtml prevent includ file show doc ;1
