;texts;labels
105;custom select contactanalysi close issu ;1
106;sphinx conf specifi secur http mathjax path rebuilt html doc resolv issu ;1
107;issu test extend function ;1
108;issu remov assert statment test unit ;1
109;close issu atomgroup packintobox merg ;1
110;contact analysi use centroid select atom per residu close issu ;1
111;test write file densiti issu ;1
112;test select writer close issu ;1
113;replac netcdf scipi netcdf issu ;1
114;new featur support pdb altloc record issu ;1
115;chang issu ;1
116;abil slice reader object use list array integ issu ;1
117;issu move master packag dir ;1
118;cach decor issu ;1
119;issu parallel distanc matrix comput use cython close ;1
120;test ncdfreader finish issu ;1
121;move mani extens file alongsid python code issu ;1
122;hbond analysi new distanc type keyword close issu ;1
123;issu move unittest code packag testsuit ;1
124;name group select accept issu ;1
125;issu parallel distanc matrix comput use cython ;1
126;issu recip make pca trr array ;1
127;discontinu support python issu ;1
128;ncdfreader issu load coordin right away ;1
129;fix issu fail write amber netcdf trajectori atomgroup ;1
130;slice residuegroup segmentgroup produc group fix issu ;1
131;test issu ;1
132;close issu tprparser gromac ;1
133;netcdfread work issu ;1
134;name stream issu ;1
135;netcdfwrit work close issu ;1
136;start timestep api solidif issu ;1
137;issu testsuit along packag ;1
138;close issu ;1
139;close issu ;1
140;empti atomgroup allow issu ;1
141;finish work issu ;1
142;test issu ;1
143;close issu bond inform guess pdb ;1
144;close issu ;1
145;close issu ;1
146;copi slice slice method base timestep fix issu ;1
147;test issu ;1
148;test issu ;1
149;fix issu helan addit output local bend unit twist angl ;1
150;fix issu helan addit output local bend unit twist angl ;1
151;unittest issu ;1
152;finish issu ;1
153;issu moltyp ;1
154;correct read write dcd unit cell inform fix issu ;1
155;detect openmp capabl compil setup fix issu ;1
156;merg luka grossar hbondanalysi improv fix issu ;1
157;fix issu alig fastaselect use outdat biopython ;1
158;fix issu read namd vmd space separ psf file ;1
159;fix issu atomgroup dimens alway return copi ;1
160;fix issu alignto check two select describ atom ;1
161;fix issu make netcdf option depend ;1
162;hydrogenbond analysi fix test issu ;1
163;fix issu univers dimens broken ;1
164;pbc angl torsion calcul fix issu ;1
165;test issu pass ;1
166;issu fix enhanc relat glycam ;1
167;issu fix enhanc relat glycam ;1
168;close fix issu guess bond ;1
169;fix issu clustalw would run align fastaselect ;1
170;energi unit convers fix issu ;1
171;issu ;1
172;issu ;1
173;fix issu futurewarn numpi pyqcprot ;1
174;fix issu read write trr veloc ;1
175;fix issu infinit loop write singl frame ;1
176;fix issu multipdb support write singl pdb frame ;1
177;fix issu qcprot would sometim return nan ;1
178;fix issu ;1
179;fix issu ;1
180;fix issu ;1
181;fix issu ;1
182;fix issu ;1
183;fix issu ;1
184;fix issu ;1
185;fix issu ;1
186;fix issu ;1
187;fix issu ;1
188;fix issu ;1
189;fix issu ;1
190;fix issu ;1
191;fix issu ;1
192;fix issu ;1
193;fix issu ;1
194;fix issu ;1
195;fix issu ;1
196;fix issu ;1
197;fix issu ;1
198;fix issu ;1
199;fix issu ;1
200;fix issu ;1
201;fix issu ;1
202;fix issu ;1
203;patch issu jandom ;1
204;comment format header file issu issu name url copyright licenc gpl issu citat inform need updat full citat avail modelin emac vim ensur tab use issu might take closer look licenc bundl packag custom comment header ;1
205;improv best like contact analysi issu ;1
206;quantifi code fix issu ;1
207;issu integr jjlight patch ;1
208;pep fix topolog test topolog str type ;1
209;parallel distanc array issu core parallel distanc ;1
210;pep fix coordin test txyz ;1
211;mdanalysi truncat atom number write gro file atom manner consist genbox gromac note appear gromac util trjconv actual write instead atom format read mdanalysi vmd overal improv allow write larg gro file workabl manner fix ;1
212;issu gener bond list use pdb instead psf ;1
213;improv pdb perform issu ;1
214;issu chainread format ;1
215;fix error introduc differ return tupl libxdrfil read trr ;1
216;test issu issu issu pass except crd crd reader miss see issu issu fail solut implement yet ;1
217;fix bug topolog guesser valid atom type ;1
218;small bug distanc helper code correspond code mdanalysi ;1
219;stupid bug calcul centerofmass timeseri correl correspond code mdanalysi ;1
220;better error messag topolog coordin format issu ;1
221;improv test issu includ line coordin file improv error messag ;1
222;cleanup code minor bug fix relat esoter index trajectori correspond code mdanalysi ;1
223;chang format due resolv error test ;1
224;resolv issu unit test includ hole analysi modul miss close call temporari pdb file descriptor ;1
225;patch jandom complet fix issu coordin check gro pdb writer http manual gromac org current onlin gro html posit column posit decim place veloc column posit decim place mean max valu coord veloc decim move digit left valid gro write move coordin check method parent writer class ;1
226;minor error correctionin mdamath ;1
227;prepar releas bump version updat readm variou packag licenc updat contact remov doc developmentbranch txt outdat short readm point user doc fix pqr must includ test case ;1
228;pdbqt small chang fix pdbqt test case pass sensibl doc remov comment bio pdb stuff pdbqt need updat changelog author paul rigor contribut pdbqt list support format ;1
229;fix race condit test suit test reli valu intern flag chang set behaviour keyword argument instead manipul flag affect gromac convers length gro xtc trr convert gromac length flag use permiss pdb reader permiss pdb reader flag test could fail perform parallel differ test thread chang global flag test check default valu use flag test ;1
230;fix race condit test suit test reli valu intern flag chang set behaviour keyword argument instead manipul flag affect gromac convers length gro xtc trr convert gromac length flag use permiss pdb reader permiss pdb reader flag test could fail perform parallel differ test thread chang global flag test check default valu use flag test ;1
231;complet fix issu delet univers teardown refer held data structur reduc maximum memori footprint roughli one test process test run faster process get macbook pro core test ;1
232;analysi align quick hack make work must use atom select writer workaround issu write pdb gro tol mass paramet avoid rais except small mass differ one structur defin via psf via pdb atom mass heurist fix progress counter mayb use analysi util progress meter instead ;1
233;fix issu optim patch test case move coordin check loop test whole coordin array one better perform error report wors report offend atom anymor remov open pdb file rais valueerror test case one primitivepdbwrit anyway ;1
234;rewrot testlammpsdatawrit use pytest fixtur ;1
235;flip format modul run use pytest ;1
236;run pytest testsuit parallel ;1
237;port core modul pytest ;1
238;enabl pytest warn ;1
239;port auxiliari modul pytest ;1
240;fix issu simul box convert coordin core triclin box triclin vector handl convers function convert dimens unitcel writer requir trajectori api growrit introduc temporari growriterstandard class replac current growrit got deprecationwarn ;1
241;new attribut atom radiu bfactor enhanc atom object radiu valu read pqr reader radii atomgroup make easier handl pqr file chang way factor store also store individu atom compat old behaviour atomgroup bfactor still manag attribut like chang method releas uniform interfac fix bug bio pdb reader absenc segid file would throw error ;1
242;bond analysi default updat select time step fix issu ;1
243;gromac trajectori fix improv fix trr xtc test fail mac mdanalysi properli instal egg directori develop instal forgot includ trr xtc file packag learn xdrfile open segfault least mac file addit check prevent gromac xdr reader behav like dcdreader rais ioerror done continu rais repeat next reason trr file alway return statu exdrint end file catch read next timestep regener swig file libxdrfil minor doc thing ;1
244;gromac trajectori fix improv fix trr xtc test fail mac mdanalysi properli instal egg directori develop instal forgot includ trr xtc file packag learn xdrfile open segfault least mac file addit check prevent gromac xdr reader behav like dcdreader rais ioerror done continu rais repeat next reason trr file alway return statu exdrint end file catch read next timestep regener swig file libxdrfil minor doc thing ;1
245;fix pdb writer would fail atom type integ use new guess atom element right guess atom type alway guess element atomnam improv guess atom type also check name start number hydrogen atom ;1
246;updat number exampl write figur figur subdirectori write data output exampl output figur block backbon dihedr radial distribut function fix updat number exampl block block averag see exampl paper radial distribut function optim version see paper correct normalis backbon dihedr exampl timeseri collect use new special residu phi select residu psi select method common backbon dihedr script ran dim adk trajectori produc figur todo script made script execut ;1
247;chang sphinx configur make close default configur doc makefil fix make clean actual clean someth ;1
248;resolv issu regard helan finish argument new unit test fix basic rais except indic finish time specifi user trajectori start time ;1
249;crdreader streamlin improv fix default unit angstrom influenc behaviour far offici crd format comment futur refer improv robust ext detect use stage detect line continu block check length field addit saniti check number atom get crd header ;1
250;port lib test util pytest ;1
251;convert tab space issu use emac untabifi file see http code googl com mdanalysi issu detail unit test pass todo add marker line editor togeth fix issu ;1
252;distanc select around point work appli univers still bug present prevent proper use atomgroup fix bug made select spit total garbag crash around use default kdtree neighbor search faster distanc matrix base routin still even better explicitli construct select atomgroup kdtree neighborsearch atomneighborsearch ;1
253;fix issu attribut residu select segnam alway return residuegroup chang old undocu behaviour might break code also document segment select made base make sens user point view structur topolog start number updat changelog test pass includ one issu ;1
254;exampl script improv addit exampl simpl fanci fit graph simpl fit fix filenam exampl ;1
255;releas bugfix enhanc accru last month see changelog detail licens updat uiuc open sourc licens catdcd code updat email address etc readm updat todo distanc array bug fix keyword expans doc file line properli shown ;1
256;convert test libdcd pytest ;1
257;instal pytest ;1
258;pytest stylecor test topolog ;1
259;charmm crd format fix inconsist writer totr realli digit wide wide realli problem simpli pad field everyth right colum technic one could problem totr coordin make sure strip larger valu write extend format ;1
260;addit testcas testcas select need note testcas issu parenthesi without space current throw error issu fix initi testcas import method atomgroup ;1
261;coordin return brand new array break numtool function check contigu long term fix function work properli non contigu array correspond code mdanalysi ;1
262;fix bug psf parser would read charg correctli would read lead except mean anyth done mdanalysi charg analysi past need recheck referencedd charmm sourc code authorit psf format correspond code mdanalysi ;1
263;fix bug must introduc tri make psf read faster prealloc bond angl etc list includ last item read line also disabl build bondlist atom bond select sinc noon use realli slow read psf correspond code mdanalysi ;1
264;fix test remov temporari file forgotten import file get properli unlink problem silent ignor put indiscrimin tri except pass block pass unlink temp produc oserror otherwis rais ;1
265;numpi array make copi forc fix problem atomgroup coordin function distanc array ;1
266;fix instal bug python setyp prefix pydir cost instal doc howev realli clear doc new scheme label unstabl releas get global revis svnversion put number reles way weill abl produc nice svn snapshot tarbal ;1
267;crdwriter denniej fix bug primitivepdbwrit would work run base atomgroup deriv class segment updat changelog todo ;1
268;test case dcdwriter unitcel fix updat changelog ;1
269;fix test write select test write atom extern file forgotten add blanket kwarg gro reader requir one pass numatom none requir revis trajectori api ;1
270;fix timeseri bug upgrad work numpi individu timeseri object treat like numpi array correspond code mdanalysi ;1
271;fix issu suppli gener file develop need cython provid gener file provid simpl setup user setup develop ;1
272;fix issu principleax return valu confus new principalax method correct name bonu return three eigenvector directli requir unpack kept old method deprec ;1
273;possibl fix issu least mac bug littl consequ user dcd dcd header function implement debug purpos never document use code ;1
274;enh fix ioerror messag libdcd pyx refer trr file instead dcd file ;1
275;fix bug equal test use instead also potenti profil exampl correspond code mdanalysi ;1
276;fix issu instant select atom residu also termini remov cach atom residu decreas perform probabl least return correct select ;1
277;fix protein select charmm histidin residu left protein select correspond code mdanalysi ;1
278;fix issu naveen michaudagraw dcdwriter check input coordin array contingu dcd store data fortran format singl timestep magic numpi array usual transpar handl ;1
279;issu fix univers trajectori delta valu round read dcd header file use round decim peopl suggest full precis would better ;1
280;minor omiss fix changelog oop atomgroup atom still realli necessari setup scipi requir analysi need spars matrix contact matrix ;1
281;fix mdanalysi import get univers collect main name space way old mdanalysi ;1
282;fix bug load new dcd univers atom would refer previou dcd timestep object correspond code mdanalysi ;1
283;fix error dcd reader remov confus comment ;1
284;updat todo remov fix stuff new idea ;1
285;fix start stop step valu analysisbas ;1
286;backport log changelog tyler fix issu ;1
287;fix angl angl angl ;1
288;fix adk oplsaa gro test file includ test fail done non develop instal ;1
289;fix adk oplsaa gro test file includ test fail done non develop instal ;1
290;pytest style coordin test netcdf coordin test trj ;1
291;fix issu analysi align fit tri mess horribl elif construct fix report joshua adelman unit test mark slow updat changelog note fit trj function rewritten speed better handl trajectori format ;1
292;fix issu htaoyu amber top parser failur relat chang ;1
293;ref fix accuraci fail test ;1
294;final fix test failur due chdir tempdir ;1
295;fix hbond cannot deal atom far ;1
296;fix encor requir reader timeseri capabl ;1
297;rest fix align psa changelog fix ;1
298;bug fix untest mdanalysi visual code ;1
299;regener doc fix issu parser trr parser sub argument ;1
300;fix coverag drop coordin modul ;1
301;fix atomgroup write fail use lower case file format string chang ;1
302;fix issu gro file column width ;1
303;fix concanten select dih broken new atomgroup atom attribut make sure get atom atomgroup atom test case clean atomgroup doc fix test case got broken ;1
304;fix trz file reader big endian arch ;1
305;fix leaflet atomgroup must import mdanalysi core ;1
306;fix leaflet atomgroup must import mdanalysi core ;1
307;fix header length inform dcd ;1
308;principleax fix addit nucleic acid select ;1
309;forgot check half fix issu ;1
310;fix forgotten stopiter gener ;1
311;fix miss edg case typeerror aux ;1
312;fix cython band aid solut ;1
313;doc pqr fix ;1
314;testfil testsuit setup dmsparser fix rais ioerror file found ;1
315;fix syntax error mdanalysi init ;1
316;chang bare except gropars tri fix coverag detect ;1
317;issu sort fix check dcd size rais ioerror instead segfault ;1
318;fix pdb file output could read charmm even though technic legal pdb ;1
319;close issu fix doc mention base frame base ;1
320;fix issu support file onlin doc includ sourc distribut ;1
321;fix int type assert testdownshiftarray ;1
322;fix copi error cython setup ;1
323;fix test crd file would fail crd setup distribut ;1
324;fix cython error travi ;1
325;fix cython compil error ;1
326;fix test crd file would fail crd setup distribut ;1
327;issubclass isinst fix issu ;1
328;fix comparison none int auxiliari ;1
329;fix centerofmass centerofgeometri radiusofgyr broken numpi sum includ axi correspond code mdanalysi ;1
330;time unit minor fix flag ;1
331;fix ndim dcd reader error ;1
332;fix regress pdb file python ;1
333;fix group yield test ;1
334;richard extra align principalaxi camelcas fix ;1
335;fix xdr writer incorrect use delta paramet issu ;1
336;fix codi error format ;1
337;fix yield coordin test pdb ;1
338;fix pars pdb header data primitivepdbread close ;1
339;fix miss occup primitivepdbread ;1
340;analysi nuclinfo fix test ;1
341;dirti fix issu ;1
342;fix issu hydrogenbondinganalysi ;1
343;primitivepdbread fix bug relat base frame index broken multi model pdb pars ;1
344;remov duplic testcas test util fix potenti segfault test ;1
345;fix trajectori reader read non exist frame ;1
346;fix issu lib mdamath make whole ;1
347;analysi hbond fix merg error chang implement count type correl match count type ;1
348;fix backward step readfram ;1
349;fix molnum topolog attr scope ;1
350;final fix manifest ;1
351;fix memori blowup unit test introduc commit ebe ;1
352;fix memori blowup unit test introduc commit ebe ;1
353;fix bug coordin base test ;1
354;doc fix broken link charmm doc ;1
355;fix yield test atomgroup ;1
356;updat changelog fix ;1
357;fix test streamio python ;1
358;fix issu spars contact matrix distanc ;1
359;fix align aligntrj bug ;1
360;fix align test ;1
361;fix issu ;1
362;fix hydrogenbondautocorrel scipi ;1
363;rest fix qcprot ;1
364;fix scope class ;1
365;fix simpl rmsd issu ;1
366;fix weight deprec ;1
367;fix potenti issu xtc trr gro pdb writer convert unit fals ;1
368;fix compat python posit argument specifi omit python ;1
369;fix test ;1
370;fix test ;1
371;fix bug compil addit fix compil ;1
372;fix rmsf run return ;1
373;trr veloc fix ;1
374;fix issu chainread crd bug timestep problem ;1
375;trr writer fix write forc without unit convers ;1
376;issu improv fix ;1
377;small fix bond topologyattr ;1
378;fix setup time depend numpi broke pip instal ;1
379;fix spuriou test failur timestep api test ;1
380;fix citat doc ;1
381;minor chang test fix issu issu attrib chang text ;1
382;version bump devel maintain chang releas fix ;1
383;tree fix test minor upgrad packag ;1
384;fix crdwriter test fail bug use statement ;1
385;unstabl fix init fle realli present name mdanalysi name space reorgan ;1
386;test topolog fix deprec import core distanc lib distanc ;1
387;fix misus delta arg chainread doc mdanalysi writer ;1
388;fix adk testcas totaltim broken fix issu round anymor henc report use assert almost equal test case ;1
389;fix issu psfparser rais indexerror miss segid ;1
390;fix pdb format appar one strip space name resnam ;1
391;adjust gro veloc test case fix issu ;1
392;correct suggest document fix updat ;1
393;updat test fix issu doc ;1
394;fix dcdreader sync timestep ;1
395;fix pdb blank line gave indexerror fix issu ;1
396;primitivepdbread fix getitem iter return none singl frame ;1
397;fix dcd writer error ;1
398;fix lampp dcd set user ;1
399;fix fail test ;1
400;fix test moltyp ;1
401;parser coordin entri point fix would allow build psf univers issu warn ;1
402;fix small render error doc ;1
403;review need pytest style testencor ;1
404;work groread testgroread fix timestep numatom issu ;1
405;fix psf pars number residu greater correspond code mdanalysi ;1
406;wip pytest style analysi test align ;1
407;review need pytest style coordin test trj ;1
408;version bump doc fix regener ;1
409;version bump doc fix regener ;1
410;fix changelog ;1
411;updat changelog issu fix ;1
412;updat changelog issu fix ;1
413;review need pytest style analysi test hydrogenbondautocorrel ;1
414;review need pytest style coordin test ;1
415;fix trr coordin access via issu ;1
416;pytest style topolog test ;1
417;fix problem pdb pdbwriter also bump version work toward ;1
418;fix docstr fix copi standard librari dir longer need ;1
419;review need pytest style coordin test chainread ;1
420;review need pytest style coordin test lammp ;1
421;pytest style coordin test gro ;1
422;pytest style coordin test xyz ;1
423;pytest style topolog test pdbqt ;1
424;pytest style coordin test pdbqt ;1
425;pytest style coordin test memori ;1
426;testgmsread fix error data file includ ;1
427;fix doc build error ;1
428;fix error rst file ;1
429;merg develop fix changelog conflict ;1
430;fix except messag coordin format guess minor doc typo ;1
431;fix issu bolean correct variou flot check etc ;1
432;fix coordin base select atomgroup correspond code mdanalysi ;1
433;fix frame attribut dcdreader remov dimens properti ;1
434;fix issu fail write segment residu residuegroup need make sure access underli list atom also fix unreport issu crdwriter wrote wrong number atom select simplifi code crdwriter ;1
435;topolog core fix updat pyk convent clean avoid cyclic import ;1
436;pytest style coordin test crd ;1
437;fix typo lead nameerror result correspond code mdanalysi ;1
438;pytest style auxiliari base ;1
439;small adjust get work analysi hbond fix bug call save tabl coordin xyz two dummi variabl core util chang regex detect glycam style residu name ;1
440;fix document atomgroup light chang ;1
441;hydrogenbondanalysi fix acceptor doc improv ;1
442;dmsreader fix dictionari typo replac dict ;1
443;fix doc deploy ;1
444;fix deprec warn missfir ;1
445;fix fit attribut shadow fit method ;1
446;pytest style topolog base ;1
447;fix linter problem ;1
448;mass guess pdbparser unknown set fix backbon dihedr exampl ;1
449;fix onlin doc point select report joe ;1
450;fix pep issu ;1
451;rest fix ;1
452;hbond still return timeseri run fix rest ;1
453;pytest style analysi test base ;1
454;pytest style analysi test gnm ;1
455;review need pytest style core test updat atomgroup ;1
456;pytest style test import ;1
457;pytest style test util ;1
458;unittest fix doc string ;1
459;wip pytest style analysi test densiti ;1
460;fix xtc trrreader would fail obtain appropri writer ;1
461;wip pytest style analysi test helan ;1
462;fix xyz format act standalon topolog coordin ;1
463;wip pytest style analysi test contact ;1
464;pytest style analysi test psa ;1
465;pytest style analysi test persistencelength ;1
466;fix problem read process triclin unitcel issu fix read cryst complet mess issu order angl wrong convert box vector represent box length angl see http wikipedia org wiki lattic constant definit issu revisit old bug chang test case would catch angl mix overlook previou fix ;1
467;pytest style coordin test timestep api ;1
468;pytest style coordin test ;1
469;fix testest broken new primitivepdb reader writer ;1
470;pytest style coordin test mmtf ;1
471;pytest style coordin test writer registr ;1
472;fix testest broken new primitivepdb reader writer ;1
473;pytest style core test index dtype ;1
474;pytest style core test segmentgroup ;1
475;pytest style core test atomselect ;1
476;pytest style core test group traj access ;1
477;fix write element column primitivepdbwrit ;1
478;hbond analysi fix incorrect residu handl trail number ;1
479;import common object base namespac also fix thing atomgroup correspond code mdanalysi ;1
480;fix pdb format hole test file pdb hole ;1
481;fix utf angstrom symbol core unit ;1
482;new gsd topolog unit test fix assign resnam ;1
483;fix cach decor break function doc ;1
484;gro reader fix case entri unitcel ;1
485;fix timeseri pass atomgroup correspond code mdanalysi ;1
486;fix issu fix unitcel xtc trr box vector extract wrongli move raddeg angl veclength coordin core use test case ;1
487;fix object ;1
488;fix read pqr file gromac ;1
489;fix align principalaxi ;1
490;fix neighborsearch ;1
491;fix timeseri ;1
492;fix unitcel handl ;1
493;fix python imcompat core ;1
494;fix topolog base guess atom element rais indexerror ;1
495;fix unitcel initi ;1
496;pytest style topolog test crd ;1
497;pytest style core test topologyattr ;1
498;pytest style core test segment ;1
499;pytest style core test atom ;1
500;pytest style core test fragment ;1
501;pytest style core test requir ;1
502;pytest style core test residu ;1
503;fix syntax error test case lost commit somewher ;1
504;fix timestep unitcel initi instead none ;1
505;pytest style analysi test ;1
506;pytest style topolog test psf ;1
507;pytest style topolog test dlpoli ;1
508;pytest style topolog test top ;1
509;fix amber toppars format ;1
510;fix util angl would sometim produc nan ;1
511;fix gropars strip atom residu name ;1
512;fix threw except atom found return empti index list ;1
513;pytest style test streamio ;1
514;pytest style test xvg ;1
515;pytest style test datafil ;1
516;pytest style test select ;1
517;pytest style test altloc ;1
518;fix unicod name open ;1
519;fix doc pdbparser conect keyword ;1
520;fix nuclinfo doc testcas ;1
521;atomgroup picklabl test fix cosmet ;1
522;fix dmstimestep initi unitcel wrong ;1
523;fix dmstimestep initi unitcel wrong ;1
524;trj reader fix ;1
525;fix warn ;1
526;fix warn ;1
527;fix copi take arg ;1
528;fix around select naveen correspond code mdanalysi ;1
529;fix summari txt distribut sourc dist ;1
530;fix parenthes argument mass charg ;1
531;fix calc dihedr dihedr dihedr ;1
532;pytest style test nuclinfo ;1
533;fix usag format kwarg reader ;1
534;fix alignto rais keyerror target ;1
535;fix memori dealloc certain condit offset array could freed ;1
536;fix mpi fork warn import mdanalysi mpi init call ;1
537;bond fix repr fail coordin avail ;1
538;pytest style analysi test nuclinfo ;1
539;fix historyread use base frame indic ;1
540;fix circular refer reader caus memleak ;1
541;fix hydrogenbondinganalysi backbon donor list ;1
542;fix timestep frame number issu ;1
543;pytest style test model ;1
544;fix charg parser correspond code mdanalysi ;1
545;fix link amber nctraj format ;1
546;pytest style topolog test pqr ;1
547;pytest style topolog test gro ;1
548;pytest style topolog test hoomdxml ;1
549;pytest style topolog test guesser ;1
550;pytest style topolog test lammpsdata ;1
551;pytest style topolog test xyz ;1
552;pytest style topolog test topolog base ;1
553;pytest style topolog test xpdb ;1
554;pytest style topolog test ;1
555;fix python incompat topolog bond ;1
556;fix alignto fit trj select ;1
557;fix bug core util iter fail unicod ;1
558;fix issu chainedread fail access ;1
559;fix incorrect requir hbond autocorrel tool ;1
560;fix broken atom add ;1
561;fix univers load new rais nameerror ;1
562;writer class fix repr even numatom provid ;1
563;wateranalysi fix case water molecul select ;1
564;fix circular import ;1
565;fix analysi class warn fix ;1
566;fix duecredit import error report due stub ;1
567;fix mass weight rmsd fit ;1
568;fix forc convers commit caafebcaabdbbdb ;1
569;fix residu segment merg ;1
570;fix fail test test model ;1
571;pytest style coordin test xdr ;1
572;fix scalar array comparison custom mass ;1
573;kdtree fix compil warn comparison sign unsign integ express ;1
574;fix maintain chang releas ;1
575;fix known failur transit ;1
576;fix pkdtree biopython ;1
577;pytest style test deprec ;1
578;pytest style test persist ;1
579;pytest style test log ;1
580;fix fail test issu ;1
581;fix test issu ;1
582;fix numpi partial import instal ;1
583;fix xtc trr reader fail python ;1
584;fix setup correctli pars cython string ;1
585;fix import tinker coordin reader ;1
586;fix document correspond code mdanalysi ;1
587;fix conda instal path travi ;1
588;fix delaunay tetrahedron correspond code mdanalysi ;1
589;partial fix test ;1
590;fix nameerror atomgroup contain ;1
